"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28"
"K11";"01";"";"1115499";"";"";"";"";"1115499";"";"20000820";"CH120003365547";"AN";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1259551";"";"";"";"";"";"";"19991001";"CH120003368609";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1594980";"";"";"";"";"";"";"19990501";"CH120001976905";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1562156";"CH710373055041";"FT";"";"";"1565263";"";"20000827";"CH120004806469";"FT";"2";"";"CH714800037525";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1331264";"CH713847153908";"FT";"";"";"1331264";"";"20010619";"CH120006405592";"FT";"2";"";"CH714800037525";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1436907";"CH712531123838";"SI";"";"";"1434033";"";"20000930";"CH120003746483";"SI";"2";"";"CH713473108082";"SI";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1411218";"CH713627092434";"FT";"";"";"1411218";"";"20010207";"CH120004181108";"FT";"2";"";"CH714530061265";"FT";"";"";"";"";"45";"";"";"";"";"";"0"
"K11";"01";"";"1119435";"CH120004245343";"FT";"";"";"1109832";"";"20000101";"CH120004245374";"FT";"1";"2";"CH120018229322";"FT";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1399417";"CH310069624034";"HF";"";"";"1399417";"";"20010101";"CH120004276743";"HF";"2";"";"CH310119614046";"HF";"";"";"";"";"35";"";"";"";"";"";"0"
"K11";"01";"";"1127645";"CH110280240491";"BR";"";"";"1127645";"";"20000922";"CH120004279881";"BR";"2";"";"CH110280269775";"BR";"";"";"";"";"60";"";"";"";"";"";"0"
"K11";"01";"";"1309638";"CH713207054999";"FT";"";"";"1309638";"";"20010523";"CH120003726164";"FT";"2";"";"CH714530061265";"FT";"";"";"";"";"48";"";"";"";"";"";"0"
"K11";"01";"";"1179200";"CH712316087263";"FT";"";"";"1438864";"";"20000101";"CH120002996933";"FT";"2";"";"CH715130019014";"FT";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1520866";"CH310129640318";"HF";"";"";"1520866";"";"20000202";"CH120003233693";"HF";"2";"";"CH310084000141";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1392685";"";"";"";"";"1392685";"";"20001128";"CH120002741304";"FT";"2";"";"CH716605079717";"FT";"";"";"";"";"45";"";"";"";"";"";"0"
"K11";"01";"";"1523324";"";"";"";"";"1523324";"";"20001018";"CH120001813378";"FT";"2";"";"";"";"";"";"";"";"36";"";"";"";"";"";"0"
"K11";"01";"";"1548143";"";"";"";"";"";"";"19960323";"CH120001814627";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1548143";"";"";"";"";"";"";"19951105";"CH120001814719";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1327687";"";"";"";"";"";"";"19980615";"CH120001974352";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1268027";"";"";"";"";"";"";"";"CH120001947349";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1141672";"";"";"";"";"1141672";"";"20000502";"CH120003011437";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1554489";"";"";"";"";"";"";"19991001";"CH120003244101";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1540550";"";"";"";"";"";"";"19991001";"CH120003079093";"KR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1685794";"";"";"";"";"1685794";"";"20000131";"CH120003024031";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1106817";"";"";"";"";"1178128";"";"20000928";"CH120003446031";"FT";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1178128";"";"";"";"";"1178128";"";"20001011";"CH120003446055";"FT";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1246766";"";"";"";"";"";"";"19991001";"CH120003264031";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1514650";"";"";"";"";"1514650";"";"19991006";"CH120003456610";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1467727";"";"";"";"";"1467727";"";"20010411";"CH120004292682";"KR";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1116229";"";"";"";"";"";"";"19890727";"CH120004423628";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1019223";"";"";"";"";"";"";"19930801";"CH120004282881";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1259247";"CH110728042489";"BR";"";"";"1259247";"";"20001107";"CH120004939235";"BR";"2";"";"";"";"";"";"";"";"35";"";"";"";"";"";"0"
"K11";"01";"";"1579925";"CH110067036545";"BR";"";"";"1579925";"";"20001109";"CH120003579265";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1194746";"";"";"";"";"";"";"19980807";"CH120002196678";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1602425";"";"";"";"";"1602425";"";"20000101";"CH120001982340";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1473032";"";"";"";"";"";"";"19980607";"CH120002068784";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1585360";"";"";"";"";"";"";"19930504";"CH120002201969";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1652093";"";"";"";"";"";"";"19961220";"CH120001368496";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1754476";"";"";"";"";"1754476";"";"20001228";"CH120001383000";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1112207";"";"";"";"";"1765878";"";"19991206";"CH120001252979";"FT";"2";"";"";"";"";"";"";"";"38";"";"";"";"";"";"0"
"K11";"01";"";"1112344";"";"";"";"";"1214369";"";"20000728";"CH120001352365";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1629842";"";"";"";"";"";"";"19991001";"CH120001368519";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
